Character,Line
Fry, Fine. Break my heart again.
Bender," Nah, I'm comfy."
Fry, Pizza delivery for Mr. ... ... Seymour Asses.
Leela," You know, this might actually work. The Omicronians seem to have trouble telling one person from another."
Farnsworth," You'll be picking up a monument commemorating my lost crew. To be unveiled Tuesday at their memorial ceremony. All the grieving families will be there. Plus, a popsicle cart!"
Farnsworth," Wrong again, idiot. There is no gas. Petroleum reserves ran dry in 2038."
Fry," Huh. I knew you had other crews, but you never told us you had a first crew."
Fry," Oh, now I get it!"
Leela, Yeah! Play those bongos!
Fry," Sorry, but if it's not here in half an hour, it's free."
Fry, Now it's personal.
Fry," And there's a robot scratching post. You should try it out, Bender."
Farnsworth," Zoidberg, no! The effects of jar juice aren't fully understood!"
Farnsworth, Tonight is the ribbon-cutting for the DOOP's new headquarters.
Farnsworth," So, this! If ever the two crystals should meet, their wave functions would collapse like Raymond Burr's trampoline, once again rendering all dark matter inert and useless as fuel."
Bender, Bender must be stopped. I've gone too far. Who does that guy think I am? Come on! We're gonna march all the way to Hollywood and make them stop forcing their filthy me down our throats!
Amy," Wait, what the Shmell happened? I thought Ndnd disintegrated you with this ray gun."
Hermes, You could use it for picnics.
Fry, Even me?
Fry, Yay!
Bender," Wait a minute, you know lots of rock stars, and most of them like to look like they care about things!"
Fry, Every Christmas my mom would get a fresh goose for goose burgers and my dad would whip up his special eggnog out of bourbon and ice cubes. This dumb holiday just makes me think of all the things I left behind. Let's just stop talking about Xmas.
Fry," Well, aren't they?"
Leela, We can't leave yet. We've got to wait for Bender. The high gravity must be slowing down his looting.
Leela," No, Fry! You can't fall fast enough!"
Leela," It's no use. We'd better turn back. Which way, Fry?"
Fry, No.
Zoidberg, Aha! Now the rubber band's on the other claw!
Hermes, We're saved!
Fry, No time! Run! Run to safety!
Bender," Bender, you're a genius!"
Fry," Aw. Thanks, Bender."
Fry, No! Did you see it? Did you see it?
Leela, Stop! Stop eating Popplers!
Hermes," Let's see now, which bait to use? Crickets? Squid? Chicken necks?"
Leela," Dear Fry, our time together was short, but it was the best time of my life."
Farnsworth," Pine trees aren't barking snakes. They won't just turn up in a salad at Olive Garden. But there is one hope, and, as usual, it's Norwegian!"
Farnsworth," Bender, you won't believe this, but the empathy chip burned out. The emotion you felt for Nibbler was actually your own."
Leela, Heirloom eggs?! That's so life-affirming! I'll bet you run your own hatchery. Just you and your wife... Matilda.
Farnsworth," So what?! I'm going to die of hypermalaria, anyway. I was in the same swamp as the rest of the men."
Leela," After all this time, somebody else with one eye who isn't a clumsy carpenter or, uh, a kid with a BB gun."
Bender," Morgan made me walk the Professor. There we were in the park when suddenly some old lady says I stole her purse. I chucked the Professor at her but she kept coming. So I had to hit her with this purse I found. Ah, the point is, it's Morgan's fault. That pencil-pushing scazwag. Why, if she were here, I'd-- Uh-oh, is she behind me?"
Bender, I can move again. My music career is over.
Farnsworth," Ah, the last proton should be decaying about now."
Fry," Bender, you knew all this would happen, didn't you?"
Hermes, We're not your friends! We're your victims!
Bender, Seriously? Why?
Amy," Antidepressants? Well, I certainly don't want to get depressed."
Bender, Leela's right! I don't wanna end up a loser like her. Count me back in!
Bender," Robot gets bored and kills Fry with a hammer! Sorry, go on."
Leela, We haven't thought of a name yet.
Fry," Please, Mr. Nixon. We're appealing to your sense of decency."
Fry, I'm rich! I can live whenever I want.
Leela, Wait. What's that?
Bender, Suck my luck!
Leela, Halfway there. The ship should be getting a bit less rational now.
