Character,Line
Bender," Say your prayers, Fry."
Bender, Time heals all wounds.
Zoidberg," Now it's time for my song! When I was two, there was a tidal wave in--"
Zoidberg, Stop yelling at me!
Farnsworth, Nice meeting you.
Fry," You weren't sleepwalking, you were sleep-bending!"
Hermes," Oh, the Colonial Desktop(?).  Well, there's nuthin' we Brits enjoy more dan a good document'ry. Turn on the televiser, Dr. Zoidsmythe."
Fry," Oh, hooray. It's handsome Lars and his fabulous jars."
Fry, It's that obnoxious monkey. He kept me up all night with his constant thinking. Just thinking and thinking. He's trying to make me look like an idiot.
Bender," (VO) ... and as soon as I was out of the scammers' control, I pulled the old switcheroo."
Farnsworth," Indeed. You see, that fossil was made of dolomite; The tough black mineral that won't cop out when there's heat all about. By contrast, observe the lava's affect on this ice swan. Of course, that would have melted even at room temperature. I just wanted to get rid of it. But had it been made of that righteous mineral dolomite, there's a slim chance it might have survived."
Bender," Goodnight, Calculon."
Leela," In fact, I shouldn't even be wearing this around here. It was brisk, I dressed in layers."
Amy, I do! Kif's given me dozens. Is it true what the ad says? That you kiss them together out of blanket cloth and magic buttons?
Fry," Well, you were gonna live in the closet anyway. Won't you be just as happy back in your old place?"
Fry," Please, can you take a message to Leela?"
Amy," Yes, you did, you dumb calamari!"
Leela, What about the sentries?
Zoidberg, Someone do something.
Bender," Not so neutral now, are you Sweden?"
Amy, What caused all that damage?
Fry," Well, this is the end. There was so many things I wanted to say to you."
Farnsworth," No, no. This won't do. A three-month calendar? What is this, Mercury?"
Leela, I don't believe it! It's dark matter.
Fry, Huh?
Amy, No kidding. These gifts have been coming non-stop! I think Calculon's falling for you.
Leela," Bender, thank God you're here. Talk some sense into the other machines."
Bender, Any jerk can tell her! Bender has a little more up his sleeve.
Fry," Good news, everyone!"
Fry, Bender's gonna be killed!
Leela," Oh, no! There's no global positioning signal! Navigation is failing."
Fry, Tell me what?
Leela, I don't know. But I'm not helping.
Fry, No wonder traditional media is dead!  Check out this webisode of Hypnotoad.
Bender," Tomorrow, at the family castle. Followed by the reading of his will. Well, I'm rich. Goodbye, losers, whom I've always hated! C'mon, it'll be fun!"
Bender, Isn't it true that you have been paid for your testimony?
Hermes," A true inspiration for the children. Um, a little help please? Nooo!"
Bender," Oh, yeah, come on, baby."
Amy," I underestimated you, medical crab. But will the Aliens understand?!"
Fry," Sorry, everyone, but need I remind you? Blood is thicker than water."
Fry," Aw, man!"
Leela," Fortunately, I still have our old career chips."
Bender," Oh, yes, Elzar."
Bender, Huh? I choose to not understand these signs.
Fry, You little runts froze me! You took away my life!
Fry," You're mean, Rutherford B. Hayes!"
Fry," Not yet, commander. Yancy's just trying to steal my stuff as usual."
Fry, So what's the deal? You guys don't believe in Robot Jesus?
Zoidberg, Aha! Once again the conservative sangwich-heavy portfolio pays off for the hungry investor! Oh! I'm ruined. Why? Why?
Leela, What? You can give me new ears? Wait. What seemingly reasonable thing do you want in return?
Bender, Going through the 'bot wash!
Amy," Hey! You're the unfrozen guy! From the 20th century, right?"
Fry," Hey, I'm begining to think you guys don't think I'm very smart."
Bender, I'm just here for what's mine. Don't make me kick your neck.
Leela," Does anyone else think it's odd that a shiftless 25-year-old delivery boy could drop out of the sky, kill the emperor and be rewarded instead of punished?"
Zoidberg, Hooray!
